tv_name,year,url
amc,2001,http://tvmegasite.net/transcripts/amc/older/2001/amc-trans-11-02-01.shtml
amc,2001,http://tvmegasite.net/transcripts/amc/older/2001/amc-trans-11-05-01.shtml
amc,2001,http://tvmegasite.net/transcripts/amc/older/2001/amc-trans-11-06-01.shtml
amc,2001,http://tvmegasite.net/transcripts/amc/older/2001/amc-trans-11-07-01.shtml
amc,2001,http://tvmegasite.net/transcripts/amc/older/2001/amc-trans-11-08-01.shtml
amc,2001,http://tvmegasite.net/transcripts/amc/older/2001/amc-trans-11-09-01.shtml
amc,2001,http://tvmegasite.net/transcripts/amc/older/2001/amc-trans-11-12-01.shtml
amc,2001,http://tvmegasite.net/transcripts/amc/older/2001/amc-trans-11-13-01.shtml
amc,2001,http://tvmegasite.net/transcripts/amc/older/2001/amc-trans-11-14-01.shtml
amc,2001,http://tvmegasite.net/transcripts/amc/older/2001/amc-trans-11-15-01.shtml
amc,2001,http://tvmegasite.net/transcripts/amc/older/2001/amc-trans-11-16-01.shtml
amc,2001,http://tvmegasite.net/transcripts/amc/older/2001/amc-trans-11-19-01.shtml
amc,2001,http://tvmegasite.net/transcripts/amc/older/2001/amc-trans-11-20-01.shtml
amc,2001,http://tvmegasite.net/transcripts/amc/older/2001/amc-trans-11-21-01.shtml
amc,2001,http://tvmegasite.net/transcripts/amc/older/2001/amc-trans-11-22-01.shtml
amc,2001,http://tvmegasite.net/transcripts/amc/older/2001/amc-trans-11-23-01.shtml
amc,2001,http://tvmegasite.net/transcripts/amc/older/2001/amc-trans-11-26-01.shtml
amc,2001,http://tvmegasite.net/transcripts/amc/older/2001/amc-trans-11-27-01.shtml
amc,2001,http://tvmegasite.net/transcripts/amc/older/2001/amc-trans-11-28-01.shtml
amc,2001,http://tvmegasite.net/transcripts/amc/older/2001/amc-trans-11-29-01.shtml
amc,2001,http://tvmegasite.net/transcripts/amc/older/2001/amc-trans-11-30-01.shtml
amc,2001,http://tvmegasite.net/transcripts/amc/older/2001/amc-trans-12-03-01.shtml
amc,2001,http://tvmegasite.net/transcripts/amc/older/2001/amc-trans-12-04-01.shtml
amc,2001,http://tvmegasite.net/transcripts/amc/older/2001/amc-trans-12-05-01.shtml
amc,2001,http://tvmegasite.net/transcripts/amc/older/2001/amc-trans-12-06-01.shtml
amc,2001,http://tvmegasite.net/transcripts/amc/older/2001/amc-trans-12-07-01.shtml
amc,2001,http://tvmegasite.net/transcripts/amc/older/2001/amc-trans-12-10-01.shtml
amc,2001,http://tvmegasite.net/transcripts/amc/older/2001/amc-trans-12-11-01.shtml
amc,2001,http://tvmegasite.net/transcripts/amc/older/2001/amc-trans-12-12-01.shtml
amc,2001,http://tvmegasite.net/transcripts/amc/older/2001/amc-trans-12-13-01.shtml
amc,2001,http://tvmegasite.net/transcripts/amc/older/2001/amc-trans-12-14-01.shtml
amc,2001,http://tvmegasite.net/transcripts/amc/older/2001/amc-trans-12-17-01.shtml
amc,2001,http://tvmegasite.net/transcripts/amc/older/2001/amc-trans-12-18-01.shtml
amc,2001,http://tvmegasite.net/transcripts/amc/older/2001/amc-trans-12-19-01.shtml
amc,2001,http://tvmegasite.net/transcripts/amc/older/2001/amc-trans-12-20-01.shtml
amc,2001,http://tvmegasite.net/transcripts/amc/older/2001/amc-trans-12-21-01.shtml
amc,2001,http://tvmegasite.net/transcripts/amc/older/2001/amc-trans-12-26-01.shtml
amc,2001,http://tvmegasite.net/transcripts/amc/older/2001/amc-trans-12-27-01.shtml
amc,2001,http://tvmegasite.net/transcripts/amc/older/2001/amc-trans-12-28-01.shtml
amc,2001,http://tvmegasite.net/transcripts/amc/older/2001/amc-trans-12-31-01.shtml
amc,2002,http://tvmegasite.net/transcripts/amc/older/2002/amc-trans-01-02-02.shtml
amc,2002,http://tvmegasite.net/transcripts/amc/older/2002/amc-trans-01-03-02.shtml
amc,2002,http://tvmegasite.net/transcripts/amc/older/2002/amc-trans-01-04-02.shtml
amc,2002,http://tvmegasite.net/transcripts/amc/older/2002/amc-trans-01-07-02.shtml
amc,2002,http://tvmegasite.net/transcripts/amc/older/2002/amc-trans-01-08-02.shtml
amc,2002,http://tvmegasite.net/transcripts/amc/older/2002/amc-trans-01-09-02.shtml
amc,2002,http://tvmegasite.net/transcripts/amc/older/2002/amc-trans-01-10-02.shtml
amc,2002,http://tvmegasite.net/transcripts/amc/older/2002/amc-trans-01-11-02.shtml
amc,2002,http://tvmegasite.net/transcripts/amc/older/2002/amc-trans-01-14-02.shtml
amc,2002,http://tvmegasite.net/transcripts/amc/older/2002/amc-trans-01-15-02.shtml
amc,2002,http://tvmegasite.net/transcripts/amc/older/2002/amc-trans-01-16-02.shtml
amc,2002,http://tvmegasite.net/transcripts/amc/older/2002/amc-trans-01-17-02.shtml
amc,2002,http://tvmegasite.net/transcripts/amc/older/2002/amc-trans-01-18-02.shtml
amc,2002,http://tvmegasite.net/transcripts/amc/older/2002/amc-trans-01-21-02.shtml
amc,2002,http://tvmegasite.net/transcripts/amc/older/2002/amc-trans-01-22-02.shtml
amc,2002,http://tvmegasite.net/transcripts/amc/older/2002/amc-trans-01-23-02.shtml
amc,2002,http://tvmegasite.net/transcripts/amc/older/2002/amc-trans-01-24-02.shtml
amc,2002,http://tvmegasite.net/transcripts/amc/older/2002/amc-trans-01-25-02.shtml
amc,2002,http://tvmegasite.net/transcripts/amc/older/2002/amc-trans-01-28-02.shtml
amc,2002,http://tvmegasite.net/transcripts/amc/older/2002/amc-trans-01-29-02.shtml
amc,2002,http://tvmegasite.net/transcripts/amc/older/2002/amc-trans-01-30-02.shtml
amc,2002,http://tvmegasite.net/transcripts/amc/older/2002/amc-trans-01-31-02.shtml
amc,2002,http://tvmegasite.net/transcripts/amc/older/2002/amc-trans-02-01-02.shtml
amc,2002,http://tvmegasite.net/transcripts/amc/older/2002/amc-trans-02-04-02.shtml
amc,2002,http://tvmegasite.net/transcripts/amc/older/2002/amc-trans-02-05-02.shtml
amc,2002,http://tvmegasite.net/transcripts/amc/older/2002/amc-trans-02-06-02.shtml
amc,2002,http://tvmegasite.net/transcripts/amc/older/2002/amc-trans-02-07-02.shtml
amc,2002,http://tvmegasite.net/transcripts/amc/older/2002/amc-trans-02-08-02.shtml
amc,2002,http://tvmegasite.net/transcripts/amc/older/2002/amc-trans-02-11-02.shtml
amc,2002,http://tvmegasite.net/transcripts/amc/older/2002/amc-trans-02-12-02.shtml
amc,2002,http://tvmegasite.net/transcripts/amc/older/2002/amc-trans-02-13-02.shtml
amc,2002,http://tvmegasite.net/transcripts/amc/older/2002/amc-trans-02-14-02.shtml
amc,2002,http://tvmegasite.net/transcripts/amc/older/2002/amc-trans-02-15-02.shtml
